incidentid,age,gender,race,criminalhistory
19870330CAPAS,Adult,Female,unknown,unknown
19870416MIMUD,Adolescent,Male,unknown,unknown
19870430ORGRP,Adolescent,Male,unknown,unknown
19870503INPII,Adolescent,Male,Black,unknown
19870506ARMAJ,Adolescent,Male,unknown,unknown
19870506FLLET,Adolescent,Male,White,unknown
19870513ILOAO,Adolescent,Male,unknown,unknown
19870928ILILL,Adolescent,Male,unknown,unknown
19871014ILDUC,Adolescent,Male,unknown,unknown
19871030NCSOK,Adolescent,Male,unknown,unknown
19871104MISOD,unknown,Male,unknown,unknown
19871114FLCLC,Young Adult,Male,unknown,unknown
19871130TXPES,Adult,Male,unknown,unknown
19871202FLENJ,Adolescent,Male,unknown,unknown
19871204NYEAN,Adolescent,Male,unknown,unknown
19871215NYGRB,Adolescent,Male,unknown,unknown
19871216TXMAK,Adolescent,Male,Other,unknown
19880105PASPS,Young Adult,Male,unknown,unknown
19880106FLGAT,Adolescent,Female,unknown,unknown
19880108PACRM,Adolescent,Male,unknown,unknown
19880120LASIR,Young Adult,Male,unknown,unknown
19880129TXREA,Young Adult,Male,unknown,unknown
19880202ALWET,Adult,Male,unknown,unknown
19880202ALWET,Adult,Male,unknown,unknown
19880211FLPIL,Adolescent,Male,White,unknown
19880211FLPIL,Adolescent,Male,White,unknown
19880226RIBRB,Adolescent,Male,unknown,unknown
19880304MILED,Adolescent,Female,unknown,unknown
19880323CACAS,unknown,unknown,unknown,unknown
19880324TXTRA,Adolescent,Male,unknown,unknown
19880505ILMAC,Adolescent,Male,unknown,unknown
19880516FLFOF,Adolescent,Male,unknown,unknown
19880520ILHUW,Adult,Female,White,unknown
19880531NYPUB,Adult,Male,unknown,unknown
19880602MSWIJ,Adult,Male,unknown,unknown
19880602MSWIJ,Adult,Male,unknown,unknown
19880602MSWIJ,Adult,Male,unknown,unknown
19880617MIJOD,Adolescent,Male,unknown,unknown
19880630HIAIO,Young Adult,Male,Hawaiian/Pacific Islander,unknown
19880710WISIM,Adult,Male,unknown,unknown
19880711MSLAJ,Adolescent,Male,unknown,unknown
19880831MICED,Adolescent,Male,unknown,unknown
19880831MICED,Adolescent,Male,unknown,unknown
19880831SCWEA,Young Adult,Male,unknown,unknown
19880902GAGLA,unknown,unknown,unknown,unknown
19880902NCGAC,Adolescent,Male,unknown,unknown
19880903TXLID,Teen,Male,unknown,unknown
