incidentid,weapontype
19940309DCEAW,Handgun
19940315SCGOC,Unknown
19940323WABAS,Unknown
19940325GAETC,Handgun
19940405TXMCA,Handgun
19940408MDLAU,Handgun
19940412MTMAB,Handgun
19940413CA49L,Handgun
19940419DCELW,Unknown
19940420INDIS,Handgun
19940421TNJTN,Handgun
19940502FLNON,Handgun
19940525INLAS,Handgun
19940525NJLAW,Handgun
19940526KYLAU,Handgun
19940724PAMAM,Unknown
19940725IAOTO,Handgun
19940907CAHOL,Unknown
19940908NYSWA,Handgun
19940919CALOL,Unknown
19940922ORLEL,Handgun
19941012NCGRG,Unknown
19941017ILHUC,Handgun
19941031CAALA,Handgun
19941105CATHS,Handgun
19941107OHWIW,Unknown
19941108IAWEM,Unknown
19941115WASTT,Handgun
19950105DCCAW,Handgun
19950110FLPAP,Handgun
19950112WAGAS,Handgun
19950123CASAR,Shotgun
19950124DCSPW,Handgun
19950202CAJOL,Handgun
19950208NECHS,Handgun
19950303MIPED,Handgun
19950327MIRED,Handgun
19950614FLLAL,Handgun
19950829TXMEL,Shotgun
19950912TNCYM,Handgun
19950914KSOLO,Handgun
19950915KYGEW,Multiple Handguns
19950927ALBLP,Handgun
19950929FLTAT,Handgun
19951012SCBLB,Handgun
19951023FLLAC,Handgun
19951030VAJOR,Handgun
19951102FLBLM,Unknown
19951115TNRIL,Rifle
19951128NYTHN,Handgun
19960102PAGIG,Unknown
19960119DCWIW,Unknown
19960126TNEAM,Handgun
19960202WAFRM,Handgun
19960202WAFRM,Handgun
19960202WAFRM,Rifle
19960208CAMIM,Unknown
19960222GAJES,Handgun
19960229MOBES,Handgun
19960311NCNON,Handgun
19960319NVSWL,Other
19960411ALTAT,Shotgun
19960415DCMCW,Unknown
19960514UTBIT,Handgun
19960522CACOC,Handgun
19960604CAWEH,Unknown
19960726CAJOL,Handgun
19960925GADED,Unknown
19961002PASMP,Unknown
19961004CASTP,Unknown
19961009ARJAS,Unknown
19961014MOSUS,Unknown
19961127CAHIS,Handgun
19970108NYCRN,Handgun
19970127FLCOW,Handgun
19970206MSWIJ,Handgun
19970213NYMOB,Handgun
19970213NYSAB,Handgun
19970219AKBEB,Shotgun
19970220FLFIJ,Handgun
19970221NVRAL,Handgun
19970317MIPED,Handgun
19970403CAMAM,Unknown
19970428CAJOL,Handgun
19970430NYCIN,Unknown
19970513FLNOM,Handgun
19970520OHDUD,Handgun
19970624ALJEM,Handgun
19971001MSPEP,Rifle
19971005OKMOO,Handgun
19971010INWAG,Handgun
19971014TXLAG,Handgun
19971015FLLIP,Shotgun
19971020CAMCO,Unknown
19971022CAJON,Handgun
19971107FLRIJ,Handgun
19971113CACRS,Handgun
19971201KYHEW,Unknown
19971201KYHEW,Shotgun
19971201KYHEW,Shotgun
19971215ARSTS,Rifle
19980212NJHOH,Handgun
19980225MIRER,Rifle
19980227VAMAF,Rifle
19980324ARWEJ,Unknown
19980325CAFED,Handgun
19980325MICOC,Shotgun
19980330NCGRC,Handgun
19980331WIOAO,Rifle
19980423CACUL,Unknown
19980424PAPAE,Handgun
19980428CAPHP,Handgun
19980428WIPAP,Handgun
19980501FLNOM,Unknown
19980501NYPUB,Handgun
19980519TNLIF,Rifle
19980521CARIR,Handgun
19980521ORTHS,Handgun
19980521ORTHS,Handgun
19980521ORTHS,Rifle
19980521WAONO,Handgun
19980527CAWAP,Unknown
19980529FLSTF,Handgun
19980615VAARR,Handgun
19980911CAHEG,Unknown
19980930FLLEL,Handgun
19980930FLNOM,Unknown
19981103PAMAP,Rifle
19981130NYHAH,Handgun
19981203INERG,Handgun
19981211INBEI,Handgun
19990108GACEC,Handgun
19990114NYHAN,Handgun
19990121TXRIN,Handgun
19990211ILOME,Handgun
19990211MSJEP,Unknown
19990304ILNIS,Handgun
19990416IDNON,Shotgun
19990420COCOL,Handgun
19990420COCOL,Rifle
19990420COCOL,Shotgun
19990420COCOL,Shotgun
19990422GAMAA,Handgun
19990422LASCB,Handgun
19990520GAHEC,Handgun
19990520GAHEC,Rifle
19990825GAJAM,Unknown
19990909CASAS,Handgun
19990927FLEGT,Unknown
19991004SDJOP,Handgun
19991011NVCLL,Handgun
19991021CASAP,Handgun
19991026PAMAP,Unknown
19991026WVGUB,Unknown
19991117TXDID,Rifle
19991119NMDED,Handgun
19991206OKFOF,Handgun
20000110AKBAA,Handgun
20000113NMALA,Handgun
20000119FLRIN,Handgun
20000120NCERA,Rifle
20000126CAALM,Handgun
20000126NESOO,Unknown
20000210PAPEY,Handgun
20000214ILDUC,Handgun
20000229MIBUF,Handgun
20000310GABES,Unknown
20000323OHMCL,Handgun
20000406OKHUH,Handgun
20000410AZLAT,Handgun
20000502COTHD,Unknown
20000510AZCAS,Handgun
20000526FLLAL,Handgun
20000717WADIR,Handgun
20000726OHTIC,Unknown
20000905OHBIB,Unknown
20000907ILLOR,Handgun
20000918OHMOM,Handgun
20000926LACAN,Handgun
20001005MNMIM,Unknown
20001024AZPIG,Handgun
20001101TXNEC,Handgun
20001201CAGRL,Handgun
20001201CAJUS,Unknown
20001207CARIR,Unknown
20001221FLNOM,Unknown
20010103CABAS,Handgun
20010110CAHUO,Handgun
