incidentid,weapontype
20220517CASAS,unknown
20220515NHBEB,Other
20220518FLPAP,Handgun
20220518TNRIM,Handgun
20220519LAHAH,Handgun
20220519MIEAK,unknown
20220519VAGER,unknown
20220520ILSOP,Handgun
20220520VAPOD,Handgun
20220520TNEAC,unknown
20220520OHCAC,Other
20220520ALMAT,unknown
20220523PASIP,Handgun
20220524TXROU,Multiple Rifles
20220524DCPOW,Handgun
20220526SCMEG,unknown
20220524WIRIM,Handgun
20220526TXDUA,Handgun
20220529ILDAC,Rifle
20220529ILDAC,Handgun
20220530CAHEL,Handgun
20220531LAMON,Handgun
20220601CAULL,Handgun
