Incident_ID,Year,Quarter,School,City,State,Targets,Bullied,Domestic_Violence,Gang_Related,Preplanned
19870302MODED,1987,Spring,Dekalb High School,De Kalb,MO,Neither,1,0,0,0
19870224NYMON,1987,Winter,Mount Tom Country Day School,New Rochelle,NY,Victims Targeted,0,0,0,0
19870213AZORM,1987,Winter,Orme School,Mayer,AZ,Victims Targeted,0,0,0,1
19870210ARDAD,1987,Winter,Dardanelle High School,Dardanelle,AR,Victims Targeted,0,0,0,0
19870123MIRED,1987,Winter,Redford High School,Detroit,MI,Victims Targeted,0,0,0,0
19870114CALOL,1987,Winter,Los Angeles High School,Los Angeles,CA,Victims Targeted,0,0,0,0
19861204MTFEL,1986,Winter,Fergus High School,Lewistown,MT,Victims Targeted,,0,0,0
19861008TXSOD,1986,Fall,South Oak Cliff High School,Dallas,TX,Victims Targeted,0,0,0,0
19861003CAMOM,1986,Fall,Monrovia High School,Monrovia,CA,Both,0,0,1,0
19860918CABEB,1986,Fall,Benicia High School ,Benicia,CA,Victims Targeted,0,1,0,0
19860912CAFAL,1986,Fall,Fairfax High School,Los Angeles,CA,Both,0,0,1,0
19860517TNMAN,1986,Spring,Maplewood High School,Nashville,TN,Victims Targeted,0,0,0,0
19860516WYCOC,1986,Spring,Cokeville Elementary School,Cokeville,WY,Neither,0,0,0,1
19860515GACAA,1986,Spring,Carver High School,Atlanta,GA,Random Shooting,0,0,0,0
19860509NCPIF,1986,Spring,Pine Forest High School,Fayetteville,NC,Both,1,0,0,0
19860429MOSES,1986,Spring,Senath-Hornersville High School,Senath,MO,Victims Targeted,,0,0,0
19860423FLCHM,1986,Spring,Charles Drew Middle School,Miami,FL,Victims Targeted,0,0,0,0
19860306ILTHD,1986,Spring,Thornridge High School,Dolton,IL,Victims Targeted,,0,0,0
19860224LABOS,1986,Winter,Boyet Junior High School,Slidell,LA,Victims Targeted,0,0,0,0
19860129MDLAB,1986,Winter,Lake Clifton High School,Baltimore,MD,Victims Targeted,1,0,0,0
19860117CAVAL,1986,Winter,Vanguard Junior High School,Los Angeles,CA,Victims Targeted,0,0,0,0
19860109NCNOD,1986,Winter,Northern High School,Durham,NC,Victims Targeted,0,1,0,0
19851210CTPOP,1985,Winter,Portland Junior High School,Portland,CT,Both,0,0,0,0
19851209PAARP,1985,Winter,Archbishop Ryan High School,Philadelphia,PA,Neither,,0,0,0
19851203NHCOC,1985,Winter,Concord High School,Concord,NH,Victims Targeted,1,0,0,
19851127ALCHB,1985,Fall,Chelsea School,Birmingham,AL,Both,,0,0,0
19851126WASPS,1985,Fall,Spanaway Junior High School,Spanaway,WA,Both,0,0,0,0
19851022OHSOG,1985,Fall,Southern Hills Joint Vocational High School,Georgetown,OH,Random Shooting,N/A,N/A,N/A,N/A
19851018MIMUD,1985,Fall,Murray-Wright High School,Detroit,MI,null,0,0,0,0
19851008MDLAB,1985,Fall,Lake Clifton High School,Baltimore,MD,Victims Targeted,0,0,0,0
19850925OHTRT,1985,Fall,Trotwood-Madison Senior High,Trotwood,OH,Random Shooting,0,0,0,0
19850920TXLAC,1985,Fall,Langham Creek High School,Cypress,TX,Both,0,0,0,0
19850909TXWHH,1985,Fall,Wheatley High School,Houston,TX,Victims Targeted,0,0,0,0
19850904VAEAR,1985,Fall,East End Middle School (bus),Richmond,VA,Random Shooting,,0,0,0
19850724TXHIH,1985,Summer,Highland Park High School,Highland Park,TX,Victims Targeted,0,0,0,0
19850516FLPAB,1985,Spring,Parrott Junior High School,Brookville,FL,Victims Targeted,0,0,0,0
19850418TNSOS,1985,Spring,South Pittsburg High School,South Pittsburg,TN,Victims Targeted,0,1,0,0
19850416TXMAA,1985,Spring,MacArthur Senior High School,Aldine,TX,Victims Targeted,0,0,0,0
19850205CTAIH,1985,Winter,A I Prince Technical High School,Hartford,CT,Victims Targeted,0,0,0,0
19850126MASTB,1985,Winter,St. Gregory's High School,Boston,MA,Both,0,0,0,0
19850121KSGOG,1985,Winter,Goddard Junior High School,Goddard,KS,Both,1,0,0,1
19850118TXARA,1985,Winter,Arlington High School,Arlington,TX,Victims Targeted,0,0,0,0
19841207MOEDS,1984,Winter,Edwardsville High School,St. Louis,MO,Random Shooting,0,0,0,0
19841126MDMIR,1984,Fall,Millford Mill High School,Rockdale,MD,Victims Targeted,0,0,0,0
19841109CTWIN,1984,Fall,Wilbur Cross High School,New Haven,CT,Victims Targeted,0,0,0,0
19841031LAEAG,1984,Fall,East Ascension High School,Gonzales,LA,Victims Targeted,0,0,0,0
19841030SCPEP,1984,Fall,Pendleton High School,Pendleton,SC,Both,0,0,0,0
19841024OHWEC,1984,Fall,West Elementary School Bus,Celina,OH,Victims Targeted,0,1,0,0
19841024MISOD,1984,Fall,Southeastern High School,Detroit,MI,Random Shooting,0,0,0,
19841022MICED,1984,Fall,Central High School,Detroit,MI,Random Shooting,0,0,0,0
19841021PAWYE,1984,Fall,Wyoming Area High School,Exeter,PA,null,0,0,0,0
19840928TXRIN,1984,Fall,Richland High School,North Richland Hills,TX,Both,,0,0,1
19840928TXMIH,1984,Fall,Millsap Elementary School,Houston,TX,Random Shooting,0,0,0,
19840831LABOS,1984,Summer,Booker T. Washington High School,Shreveport,LA,Random Shooting,0,0,1,0
19840710MIMUD,1984,Summer,Mumford High School,Detroit,MI,Random Shooting,0,0,1,0
19840522OHCLC,1984,Spring,Cleveland Heights High School,Cleveland Heights,OH,Random Shooting,0,0,0,0
19840518CANON,1984,Spring,Norco High School,Norco,CA,Both,0,0,0,0
19840517TXBOH,1984,Spring,Booker T. Washington High School,Houston,TX,Victims Targeted,0,1,0,0
